,Geographic Area Name,LDS Presence,Sister Cities,Population 18 to 24 years,Population 18 to 24 years!!Less than high school graduate,Population 18 to 24 years!!High school graduate (includes equivalency),Population 18 to 24 years!!Bachelor's degree or higher,Population 25 years and over,Population 25 years and over!!Less than 9th grade,"Population 25 years and over!!9th to 12th grade, no diploma",Population 25 years and over!!High school graduate (includes equivalency),Population 25 years and over!!Bachelor's degree,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings,Total population,Male,Female,Under 18 years,18 years and over,21 years and over,65 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Total housing units,"Citizen, 18 and over population",Male,Female
1,"Aberdeen, SD",0,0,4294,652,1135,458,28245,1008,1000,8755,5697,24850,7823,38582,"42,864","21,206","21,658","10,251","32,613","30,911","7,658","38,224",913,"1,358","1,331","20,155","31,539","15,508","16,031"
2,"Aberdeen, WA",0,0,5171,803,2038,227,51839,1969,3792,17035,5506,41625,7383,31485,"42,864","21,206","21,658","10,251","32,613","30,911","7,658","38,224",913,"1,358","1,331","20,155","31,539","15,508","16,031"
3,"Abilene, TX",0,0,22201,2699,7417,1721,107411,5195,8794,34612,16140,76596,20970,32516,"73,769","37,880","35,889","14,957","58,812","56,684","15,990","63,746",970,"3,138","1,041","36,572","56,969","29,136","27,833"
4,"Ada, OK",0,0,4426,561,1248,264,24796,655,2156,8254,4279,16707,5650,35098,"171,354","86,368","84,986","40,574","130,780","121,749","25,834","130,094","13,624","1,049","3,390","71,554","125,410","62,651","62,759"
5,"Adjuntas, PR",0,0,1719,302,331,159,12554,3082,1452,3173,1864,6229,1670,15277,"38,385","18,680","19,705","9,172","29,213","27,191","6,339","25,878",922,"5,726",305,"16,861","28,803","13,848","14,955"
6,"Adrian, MI",0,0,9302,1208,3001,470,68044,1767,4511,25224,9359,58649,13551,34947,"38,385","18,680","19,705","9,172","29,213","27,191","6,339","25,878",922,"5,726",305,"16,861","28,803","13,848","14,955"
7,"Aguadilla-Isabela, PR",0,0,28878,3287,7382,2600,217176,46548,21297,60055,32991,109009,32459,16048,"98,310","49,684","48,626","20,739","77,571","73,538","18,484","91,077","2,216",352,277,"43,894","76,418","38,275","38,143"
8,"Akron, OH",1,0,74626,7970,20917,8812,483509,10605,29642,153735,95248,379548,134063,39125,"295,172","143,342","151,830","54,417","240,755","228,289","61,494","205,365","9,473",207,197,"147,417","239,440","115,115","124,325"
9,"Alamogordo, NM",0,0,7203,972,2327,593,43102,2984,4111,11741,4813,29839,7129,26838,"703,286","341,916","361,370","143,745","559,541","527,824","123,766","565,854","84,813","1,064","22,965","315,600","544,463","260,602","283,861"
10,"Albany, GA",0,0,15923,3701,4839,578,99771,5002,11528,31512,11466,41448,10629,32083,"66,804","34,480","32,324","15,444","51,360","49,226","11,481","50,081","2,310","4,577",843,"31,832","47,689","24,446","23,243"
11,"Albany, OR",0,0,9610,1778,3342,426,85098,2572,6014,25544,11455,71381,15453,35117,"147,431","69,873","77,558","35,505","111,926","104,986","23,433","61,282","79,028",278,"1,983","65,443","110,203","50,690","59,513"
12,"Albany-Schenectady-Troy, NY",0,0,99009,8741,26936,16628,606254,15070,31457,160751,122161,491642,197217,45941,"127,216","62,740","64,476","28,581","98,635","94,423","23,643","112,978",636,"1,152","1,407","50,936","95,508","46,687","48,821"
13,"Albemarle, NC",0,0,5182,1021,1692,262,42655,1852,4507,14813,4775,31662,6112,33173,"880,766","430,741","450,025","172,351","708,415","664,970","153,950","719,699","67,878","1,571","39,319","410,107","680,561","328,691","351,870"
14,"Albert Lea, MN",0,0,2029,380,750,124,21816,784,1430,8131,2672,18819,3579,34675,"62,050","31,014","31,036","13,464","48,586","46,560","11,742","51,637","7,206",317,"1,058","28,007","47,506","23,400","24,106"
15,"Albertville, AL",0,0,7847,1526,2925,401,63644,4796,7355,19818,7915,48587,11736,30687,"30,465","15,161","15,304","6,681","23,784","22,919","6,750","27,299",352,139,835,"14,371","22,751","11,301","11,450"
16,"Albuquerque, NM",1,0,82340,14003,23477,5804,620953,27174,44888,152278,109663,431964,164974,35192,"96,137","47,458","48,679","24,023","72,114","68,860","16,497","86,784","2,826",371,615,"40,661","67,130","32,385","34,745"
17,"Alexander City, AL",0,0,3480,811,1419,97,28582,1534,4047,9402,3426,18035,4734,31779,"915,986","450,378","465,608","202,606","713,380","678,818","153,492","647,918","23,792","52,677","21,507","392,001","674,374","326,632","347,742"
18,"Alexandria, LA",0,0,13535,2832,5131,814,102758,4877,10811,39518,12014,62243,14807,32366,"51,146","25,131","26,015","10,145","41,001","39,176","11,147","35,310","14,629",83,167,"29,180","40,609","19,597","21,012"
19,"Alexandria, MN",0,0,2691,298,596,222,26537,404,914,7857,4840,24774,6678,38156,"152,715","75,658","77,057","36,914","115,801","110,126","24,376","99,844","44,900",924,"1,766","67,994","113,710","55,527","58,183"
20,"Alice, TX",0,0,3848,1257,1122,108,25753,2655,3888,9449,2550,18207,2988,30570,"37,820","18,998","18,822","8,107","29,713","28,506","8,690","36,617",84,75,80,"21,340","29,625","14,878","14,747"
21,"Allentown-Bethlehem-Easton, PA-NJ",0,0,77020,8549,25168,8182,579807,21524,38043,199697,103823,459060,147755,41406,"51,990","25,916","26,074","14,259","37,731","35,861","8,224","48,322",467,206,221,"22,000","36,651","18,100","18,551"
22,"Alma, MI",0,0,4663,560,1500,217,28119,946,1699,11374,2416,23441,3809,32563,"841,265","412,757","428,508","177,174","664,091","629,111","151,724","685,179","51,210","2,041","24,263","350,620","634,367","306,867","327,500"
23,"Alpena, MI",0,0,2075,268,642,57,21069,542,1223,7050,2343,18847,3554,30429,"40,692","21,803","18,889","8,035","32,657","30,477","7,053","36,688","2,424",131,167,"16,331","32,463","17,484","14,979"
24,"Altoona, PA",0,0,9927,1099,3724,1063,88518,2024,6005,40191,12371,77680,17652,33784,"28,431","14,073","14,358","5,326","23,105","22,321","6,604","27,308",165,96,142,"16,057","22,907","11,226","11,681"
25,"Altus, OK",0,0,2678,385,1079,179,16206,1347,1437,4480,2145,10814,2988,30193,"122,495","59,955","62,540","24,920","97,575","93,375","25,372","116,594","2,230",178,723,"56,960","96,993","46,639","50,354"
26,"Amarillo, TX",0,1,25545,3857,8215,1495,169856,10193,14690,45076,27883,127533,37415,37179,"24,808","12,418","12,390","6,279","18,529","17,554","3,733","18,210","1,748",339,347,"12,136","17,865","8,917","8,948"
27,"Americus, GA",0,0,4807,683,1480,253,22465,1499,2718,7535,2133,10148,2962,31487,"264,345","132,781","131,564","67,683","196,662","185,634","37,214","216,559","16,136","2,142","8,776","109,725","181,528","89,838","91,690"
28,"Ames, IA",0,0,30414,525,4954,3033,50291,405,1069,9002,14139,43652,21944,41863,"34,929","16,657","18,272","7,911","27,018","24,967","5,766","16,354","17,179",6,397,"16,120","26,093","12,103","13,990"
29,"Amsterdam, NY",0,0,3928,797,1404,247,34213,1606,3246,12028,3407,27087,5642,34448,"123,736","64,106","59,630","21,729","102,007","86,953","16,639","108,211","2,418",278,"7,893","52,680","95,035","48,482","46,553"
30,"Anchorage, AK",1,0,39862,5037,15612,2712,258415,6182,10753,67134,51184,181023,68674,48822,"49,294","24,241","25,053","11,309","37,985","36,413","9,187","42,625","1,401",79,327,"23,529","37,445","18,102","19,343"
31,"Andrews, TX",0,0,1689,236,923,39,10610,1431,1264,3898,705,7430,1021,46062,"399,450","204,725","194,725","99,614","299,836","285,564","45,238","266,588","16,979","28,415","30,246","160,311","288,371","148,481","139,890"
32,"Angola, IN",0,0,3645,667,1416,265,23651,745,1595,9048,3119,20892,4788,36750,"18,227","9,040","9,187","5,592","12,635","11,987","1,793","14,810",418,0,57,"6,347","11,121","5,493","5,628"
33,"Ann Arbor, MI",0,0,69233,3622,12223,13113,227170,3309,7491,33896,59475,168278,99479,47332,"34,591","17,667","16,924","7,057","27,534","25,739","6,956","33,120",130,14,193,"20,147","27,207","13,856","13,351"
34,"Anniston-Oxford-Jacksonville, AL",0,0,10767,1437,3475,747,79135,4012,8608,25653,8060,52233,11605,31346,"114,324","54,925","59,399","24,769","89,555","84,674","20,245","83,801","24,190",358,925,"53,722","88,122","41,579","46,543"
35,"Appleton, WI",0,0,20021,2470,6641,1984,158138,3454,6393,50877,32584,139715,43393,42145,"114,324","54,925","59,399","24,769","89,555","84,674","20,245","83,801","24,190",358,925,"53,722","88,122","41,579","46,543"
36,"Arcadia, FL",0,0,3336,1062,1661,42,25918,3894,3189,11171,2119,16190,2593,23889,"236,834","118,424","118,410","55,837","180,997","173,006","35,173","213,413","3,213","3,066","7,728","98,471","177,662","87,915","89,747"
37,"Ardmore, OK",0,0,3996,994,1556,301,32137,1170,2876,11696,4030,22368,5648,34402,"37,371","21,029","16,342","7,213","30,158","28,636","8,317","30,608","4,537",33,163,"15,307","26,405","14,567","11,838"
38,"Arecibo, PR",0,0,17749,1548,4090,1771,129809,23019,11748,36390,22077,81078,25102,17075,"58,508","28,634","29,874","14,562","43,946","41,783","10,088","43,671","3,420","4,333",697,"26,395","42,578","20,449","22,129"
39,"Arkadelphia, AR",0,0,4944,222,866,382,13175,450,972,4021,2330,8586,2901,31345,"177,570","84,886","92,684","32,413","145,157","137,891","37,178","140,554","5,039",87,752,"82,822","144,662","68,145","76,517"
